gene_id	Sample_116498	Sample_116499	Sample_116500	Sample_116501	Sample_116502	Sample_116503	Sample_116504	Sample_116505	Sample_116506	Sample_116507	Sample_116508	Sample_116509
ENSMUSG00000001420	44.38	37.81	24.58	43.24	13.67	36.46	66.52	42.03	53.72	44.03	48.99	41.5
ENSMUSG00000001424	12460	10801	10144	9412	10083	12411	12820	10042	10871	12298	13179	11251
ENSMUSG00000001435	101	75	59	46	39	71	91	125	132	56	99	122
ENSMUSG00000001436	1682	1331	1350	1042	1218	1589	1520	1165	1384	1251	1608	1317
ENSMUSG00000001440	23640	19282	20176	15656	18134	23413	31016	25134	27170	25685	31171	25607
ENSMUSG00000001441	4219	3514	3759	2687	3280	3897	3652	3297	3346	2782	3110	2806
ENSMUSG00000001444	1797	2132	1985	3424	3120	3879	5867	3724	5757	6599	6855	5216
ENSMUSG00000001445	2849.06	2297.39	2401.33	1776.35	2111.25	2712.12	2585.55	1902.02	2091.5	2935.6	2362.06	1947.27
ENSMUSG00000001467	1881	1743	1962	1930	2294.28	2749.63	1974	1787	1624	2039	1951.59	1537.58
ENSMUSG00000001472	16766	12583	14697	9753	11481	15636	12739	10093	10792	9695	10951	9393
ENSMUSG00000001473	240	195	147	198	186	216	195	163	172	131	154	147
ENSMUSG00000001482	1287	1053	979	847	737	965	1446	1310	1445	1088	1307	1372
ENSMUSG00000001493	0	0	0	1	0	0	1	0	0	0	0	0
ENSMUSG00000001494	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001496	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001497	1	2	2	6	7	3	9	35	37	2	1	10.14
ENSMUSG00000001504	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001506	38	25	24	20	22	50	30	20	22	29	33	23
ENSMUSG00000001507	248	225	318	244	231	308	191	120	167	138	121	125
ENSMUSG00000001508	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000001510	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001517	496.99	417.93	429.94	328.99	470	627	4842.92	4648.93	5922.84	3616.98	5598.81	5470.88
ENSMUSG00000001518	1550.07	1190	1316	876	1179	1474	1173	1020	1087.12	974	1205	925.13
ENSMUSG00000001520	339	270	242	186	247	288	250	211	153	80	192	216
ENSMUSG00000001521	904	747	770	471	613	818	676	408	467	451	467	338
ENSMUSG00000001524	779	584	630	504	690	774	870	633	826	853	904	780
ENSMUSG00000001525	74134.98	57165	61104	48032	60194	71545	101504	76937	93698	115967	104470	93454
ENSMUSG00000001542	226	202	166	334	305	313	431	1133	996	257	481	471
ENSMUSG00000001552	436	444	436	218	458	619	125	167	174	61	71	110
ENSMUSG00000001555	28	44	30.56	27.31	21	37.45	134.8	84.89	121	84.37	75.35	95.42
ENSMUSG00000001558	42	23	29	13	21	32	40	32	40	32	35	32
ENSMUSG00000001566	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000001569	3608	3005	2900	2133	2625	3442	3457	2711	2961	2707	3349	2686
ENSMUSG00000001576	2512	2240	2034	2289	2176	2601	2328	1874	2107	2193	2660	2474
ENSMUSG00000001583	15	6.22	8	8	2	3	32.46	19.89	27.02	0	5.41	1
ENSMUSG00000001588	15129	11668	13339	8856	11611	14920	16208	11653	13104	12704	14126	10748
ENSMUSG00000001604	2	1	2	0	1	2	0	7	2	3	2	7
ENSMUSG00000001622	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001627	1611.64	1202.11	1227.1	1125.77	1175.64	1574.33	1985.02	2474.46	1780.95	1877.7	1485.73	1167.12
ENSMUSG00000001630	840.72	652.31	710.39	495.2	540.51	708.17	519.71	528.83	413.09	364.29	482.3	311.67
ENSMUSG00000001632	6701.59	5106.69	5537.65	3943	4674.69	6359	6030.94	4677.9	4985.6	3705.94	5076.41	4410.69
ENSMUSG00000001642	10557.57	8283.73	9292.27	7203.73	8913.07	11084.49	9012.03	6202	6568.12	10690.6	8053.6	5864.18
ENSMUSG00000001655	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001656	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001657	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001661	8	0	1	0	2	0	0	0	0	0	0	0
ENSMUSG00000001663	4	1	5	7	3	1	35	89	67	11	22	21
